,ISIN,Produkt Name,Produkttyp,Basiswert,Begebungsdatum,Brief,Geld
292,DE000MA5MRM6,"Optionsschein | Call | Danone | 90,00 | 17.09.21",Optionsschein,Danone,02.03.2021,-,"0,006 EUR"
293,DE000MA5MSM4,"Optionsschein | Call | Daimler | 100,00 | 17.12.21",Optionsschein,Daimler,02.03.2021,"0,093 EUR","0,073 EUR"
294,DE000MA5MR75,"Optionsschein | Call | Danone | 55,00 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,420 EUR"
295,DE000MA5MRK0,"Optionsschein | Call | Danone | 85,00 | 17.09.21",Optionsschein,Danone,02.03.2021,-,"0,009 EUR"
296,DE000MA5MRH6,"Optionsschein | Call | Danone | 80,00 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,027 EUR"
297,DE000MA5MLN7,"Optionsschein | Call | ASML | 420,00 | 16.12.22",Optionsschein,ASML,02.03.2021,"10,700 EUR","10,620 EUR"
298,DE000MA5MRG8,"Optionsschein | Call | Danone | 75,00 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,043 EUR"
299,DE000MA5M918,"Turbo Open End | Long | CAC 40 ® | 5.755,00",Turbo Open End,CAC 40 ®,02.03.2021,"0,810 EUR","0,800 EUR"
300,DE000MA5MSF8,"Optionsschein | Call | Daimler | 85,00 | 17.09.21",Optionsschein,Daimler,02.03.2021,"0,137 EUR","0,117 EUR"
301,DE000MA5MR83,"Optionsschein | Call | Danone | 57,50 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,310 EUR"
302,DE000MA5MRC7,"Optionsschein | Call | Danone | 67,50 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,100 EUR"
303,DE000MA5MRL8,"Optionsschein | Call | Danone | 90,00 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,013 EUR"
304,DE000MA5M272,"Turbo Open End | Short | Datagroup | 80,00",Turbo Open End,Datagroup,02.03.2021,"1,640 EUR","1,510 EUR"
305,DE000MA5MRA1,"Optionsschein | Call | Danone | 62,50 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,179 EUR"
306,DE000MA5MRD5,"Optionsschein | Call | Danone | 70,00 | 17.12.21",Optionsschein,Danone,02.03.2021,-,"0,075 EUR"
307,DE000MA5M2R0,"Turbo Open End | Long | DAX ® | 13.460,00",Turbo Open End,DAX ®,02.03.2021,"6,170 EUR","6,160 EUR"
