"Produkttyp","Valor","SIX Symbol","ISIN","Basiswert","Name","Fälligkeitsdatum","Währung","Geld","Brief"
"Mini-Future","57215452","ARAYIU","CH0572154521","Aryzta","Long Mini-Future","Open End","CHF","0.33","0.35"
"Mini-Future","57215450","ALACFU","CH0572154505","Alcon","Long Mini-Future","Open End","CHF","1.190000057220459","1.200000047683716"
"Warrant mit Knock-Out","57215448","MBLTCU","CH0572154489","Meyer Burger Technology AG","Open End Turbo Call Warrant","Open End","CHF","0.447","0.457"
"Warrant mit Knock-Out","57215442","GARMBU","CH0572154422","GAM Holding","Open End Turbo Call Warrant","Open End","CHF","0.4799999892711639","0.4900000095367432"
"Warrant mit Knock-Out","57215441","GAQMBU","CH0572154414","GAM Holding","Open End Turbo Call Warrant","Open End","CHF","0.57","0.58"
"Warrant mit Knock-Out","57215440","FIPNBU","CH0572154406","Georg Fischer","Open End Turbo Call Warrant","Open End","CHF","0.6800000071525574","0.6899999976158142"
"Warrant mit Knock-Out","57215437","CSKGBU","CH0572154372","Credit Suisse","Open End Turbo Call Warrant","Open End","CHF","1.33","1.34"
"Warrant mit Knock-Out","57215436","CLINBU","CH0572154364","Clariant","Open End Turbo Call Warrant","Open End","CHF","0.8100000023841858","0.8199999928474426"
"Warrant mit Knock-Out","57215433","BIFOBU","CH0572154331","BB Biotech","Open End Turbo Call Warrant","Open End","CHF","1.35","1.36"
"Warrant mit Knock-Out","57215432","BAVLAU","CH0572154323","Baloise","Open End Turbo Call Warrant","Open End","CHF","1.350000023841858","1.360000014305115"
"Warrant mit Knock-Out","57215431","BASEAU","CH0572154315","Julius Baer","Open End Turbo Call Warrant","Open End","CHF","1.3","1.31"
"Warrant mit Knock-Out","57215430","ARRYAU","CH0572154307","Aryzta","Open End Turbo Call Warrant","Open End","CHF","0.34","0.36"
"Warrant mit Knock-Out","57215429","ALQCAU","CH0572154299","Alcon","Open End Turbo Call Warrant","Open End","CHF","1.100000023841858","1.110000014305115"
"Warrant mit Knock-Out","57215427","ABMBAU","CH0572154273","ABB","Open End Turbo Call Warrant","Open End","CHF","0.8230000138282776","0.8330000042915344"
"Warrant mit Knock-Out","57215426","SMKIAU","CH0572154265","SMI PR Index","Open End Turbo Call Warrant","Open End","CHF","1.710000038146973","1.720000028610229"
"Warrant mit Knock-Out","57215425","SMJIAU","CH0572154257","SMI PR Index","Open End Turbo Call Warrant","Open End","CHF","1.919999957084656","1.929999947547913"
